date,permit_number,sequence_number,input_order,inspection_type,address,permit,result,inspector,result_clean,inspection_clean,zip
2025-06-05,2025042651,9,10,BEFORE ANCHOR SHEET IS COVERED,7716 SW 102 PL,ROOF,NOT INSPECTED,Christopher Suleman,OTHER,Pre-Construction/Anchors,33173
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2025042755,8,179,BUCK AND FASTENER,1800 NE 114 ST 2307,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Pre-Construction/Anchors,33181
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2025049426,13,11,BEFORE ANCHOR SHEET IS COVERED,8485 SW 68 STREET RD,ROOF,NOT INSPECTED,Christopher Suleman,OTHER,Pre-Construction/Anchors,33143
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2025025019,4,10,ROUGH,14480 SW 119 AVE,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Rough/Structural,32618
2025-06-05,2025031694,3,13,FINAL,9321 SW 88 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Final,33176
2025-06-05,2025037789,5,90,TIME OF INSTALLATION,3571 SW 117 AVE,ROOF,NOT INSPECTED,Miguel Toledo,OTHER,Pre-Construction/Anchors,33175
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2024074319,3,118,ROUGH,18201 NW 68 AVE,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33015
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2025047746,6,81,BEFORE ANCHOR SHEET IS COVERED,5830 SW 42 TER,ROOF,NOT INSPECTED,Miguel Toledo,OTHER,Pre-Construction/Anchors,33155
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2025017582,9,212,BUCK AND FASTENER,19110 NE 2 AVE,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Pre-Construction/Anchors,33179
2025-06-05,2025031694,3,13,FINAL,9321 SW 88 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Final,33176
2025-06-05,2025039963,8,91,TIME OF INSTALLATION,11020 SW 38 ST,ROOF,NOT INSPECTED,Miguel Toledo,OTHER,Pre-Construction/Anchors,33165
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2024073267,2,4,ROUGH,7389 SW 45 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Rough/Structural,33314
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2025041112,9,89,TIME OF INSTALLATION,3901 SW 109 AVE,ROOF,NOT INSPECTED,Miguel Toledo,OTHER,Pre-Construction/Anchors,33165
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2024004956,2,135,ROUGH,2660 NE 192 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33180
2025-06-05,2025031694,3,13,FINAL,9321 SW 88 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Final,33176
2025-06-05,2025044746,3,12,ROUGH,11977 SW 270 ST,ELEC,NOT INSPECTED,Ronald Smith,OTHER,Rough/Structural,33032
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2024073267,2,4,ROUGH,7389 SW 45 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Rough/Structural,33314
2025-06-05,2025045040,10,128,ROUGH,11645 BISCAYNE BLVD,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33181
2025-06-05,2025041112,9,89,TIME OF INSTALLATION,3901 SW 109 AVE,ROOF,NOT INSPECTED,Miguel Toledo,OTHER,Pre-Construction/Anchors,33165
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2024004956,2,135,ROUGH,2660 NE 192 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33180
2025-06-05,2025017944,8,76,ROUGH,9155 S DADELAND BLVD,ELEC,NOT INSPECTED,Elton Suarez,OTHER,Rough/Structural,33156
2025-06-05,2025047899,16,15,ROUGH,23238 SW 119 AVE,ELEC,NOT INSPECTED,Ronald Smith,OTHER,Rough/Structural,32618
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2024073267,2,4,ROUGH,7389 SW 45 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Rough/Structural,33314
2025-06-05,2024028899,3,73,ROUGH,8275 SW 93 ST,ELEC,NOT INSPECTED,Elton Suarez,OTHER,Rough/Structural,33156
2025-06-05,2025036049,4,99,BEFORE ANCHOR SHEET IS COVERED,6561 SW 34 ST,ROOF,NOT INSPECTED,Miguel Toledo,OTHER,Pre-Construction/Anchors,33155
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2024004956,2,135,ROUGH,2660 NE 192 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33180
2025-06-05,2025038607,3,41,ROUGH,2750 SW 27 TER 108,PLUM,NOT INSPECTED,Kevin OConnor,OTHER,Rough/Structural,33133
2025-06-05,2025041224,10,177,BUCK AND FASTENER,9372 NW 25 AVE,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Pre-Construction/Anchors,33147
2025-06-05,2024068140,1,42,FINAL,4231 SW 10 ST,PLUM,NOT INSPECTED,Kevin OConnor,OTHER,Final,33442
2025-06-05,2025023205,6,21,FRAMING/FIRE STOPPING WINDOWS,30641 SW 192 CT,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,33030
2025-06-05,2025035246,1,5,ROUGH,19423 SW 340 ST,PLUM,NOT INSPECTED,Horacio Cruz,OTHER,Rough/Structural,33034
2025-06-05,2025036775,4,49,FRAMING/FIRE STOPPING WINDOWS,13241 SW 190 TER,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,34432
2025-06-05,2024074326,4,11,ROUGH,12805 BISCAYNE DR,MECH,NOT INSPECTED,Mario Fontela  Jr,OTHER,Rough/Structural,33181
2025-06-05,2025027435,8,6,FINAL,13219 SW 188 TER,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Final,33177
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2025047474,23,6,FINAL,17871 SW 359 TER,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Final,33034
2025-06-05,2024051746,13,174,FINAL,1961 NW 83 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Final,33147
2025-06-05,2024056216,4,74,FINAL,10100 SW 82 AVE,ELEC,NOT INSPECTED,Elton Suarez,OTHER,Final,33156
2025-06-05,2024073267,2,4,ROUGH,7389 SW 45 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Rough/Structural,33314
2025-06-05,2025043677,24,197,FINAL,795 NE 155 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Final,33162
2025-06-05,2025004292,7,23,FINAL,9500 SW 25 DR,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Final,33165
2025-06-05,2025033444,3,118,TIME OF INSTALLATION,1242 NE 145 ST,ROOF,NOT INSPECTED,Vincent Carr,OTHER,Pre-Construction/Anchors,33161
2025-06-05,2025025218,12,17,FINAL,19605 SW 325 ST,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Final,33030
2025-06-05,2025020191,9,13,BUCK AND FASTENER,7707 SW 86 ST B-305,BLDG,NOT INSPECTED,Felix Barrios,OTHER,Pre-Construction/Anchors,33143
2025-06-05,2024022578,1,46,ROUGH,1611 NW 12 AVE,PLUM,NOT INSPECTED,Kevin OConnor,OTHER,Rough/Structural,33136
2025-06-05,2024022578,1,46,ROUGH,1611 NW 12 AVE,PLUM,NOT INSPECTED,Kevin OConnor,OTHER,Rough/Structural,33136
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2021014660,2,59,FINAL,2421 NE 201 ST,PLUM,NOT INSPECTED,Anthony Trujillo,OTHER,Final,33180
2025-06-05,2024061923,4,137,FINAL,1030 NE 215 ST,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Final,33179
2025-06-05,2025044568,6,31,TIME OF INSTALLATION,10400 SW 167 ST,ROOF,NOT INSPECTED,Everildo Perez,OTHER,Pre-Construction/Anchors,33157
2025-06-05,2025001457,5,26,FINAL,5785 SW 30 ST,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Final,33155
2025-06-05,2025025078,24,4,FINAL,19504 SW 324 ST,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Final,33030
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2024017511,2,170,INSULATION INSPECTIONS,1611 NW 12 AVE,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33136
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2024072864,7,185,ROOF TRUSS/PERM BRACING/SHEATH,4870 NW 183 ST,BLDG,NOT INSPECTED,Hugo Morales,OTHER,Roof,33055
2025-06-05,2023067035,11,209,FRAMING/FIRE STOPPING WINDOWS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2025023159,8,20,INSULATION INSPECTIONS,30683 SW 192 CT,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,33030
2025-06-05,2024004956,2,135,ROUGH,2660 NE 192 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33180
2025-06-05,2025020721,1,34,FINAL,6703 NW 7 ST,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Final,33126
2025-06-05,2024030801,2,13,ROUGH/SLAB,20294 SW 322 ST,ELEC,NOT INSPECTED,Rey Rubio,OTHER,Rough/Structural,33030
2025-06-05,2024004956,2,135,ROUGH,2660 NE 192 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33180
2025-06-05,2025035785,10,45,FRAMING/FIRE STOPPING WINDOWS,13258 SW 190 TER,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,34432
2025-06-05,2025033446,15,11,INSULATION INSPECTIONS,19447 SW 340 ST,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,33034
2025-06-05,2025047283,8,113,TIME OF INSTALLATION,3220 NW 80 TER,ROOF,NOT INSPECTED,Vincent Carr,OTHER,Pre-Construction/Anchors,33147
2025-06-05,2025040609,1,139,BEFORE ANCHOR SHEET IS COVERED,10945 PERRY DR,ROOF,NOT INSPECTED,Everildo Perez,OTHER,Pre-Construction/Anchors,33176
2025-06-05,2025048881,6,143,BEFORE ANCHOR SHEET IS COVERED,7480 SW 152 AVE,ROOF,NOT INSPECTED,Russell Van  Baush,OTHER,Pre-Construction/Anchors,33193
2025-06-05,2025049277,20,21,WORK WITH,13736 SW 149 CIR LN,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Temporary/Test,33186
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2025049278,21,25,WORK WITH,13765 SW 147 CIR LN,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Temporary/Test,33186
2025-06-05,2025031962,10,69,ROUGH,8940 SW 88 ST 4TH FLOOR,ELEC,NOT INSPECTED,Elton Suarez,OTHER,Rough/Structural,33176
2025-06-05,2025043606,4,67,POOL BARRIER,15752 SW 145 TER,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Plumbing/Pool/Service,33196
2025-06-05,2024054761,2,7,ROUGH,24750 SW 128 AVE,PLUM,NOT INSPECTED,Horacio Cruz,OTHER,Rough/Structural,33170
2025-06-05,2024054761,2,7,ROUGH,24750 SW 128 AVE,PLUM,NOT INSPECTED,Horacio Cruz,OTHER,Rough/Structural,33170
2025-06-05,2025042819,4,144,TIME OF INSTALLATION,16556 SW 76 ST,ROOF,NOT INSPECTED,Russell Van  Baush,OTHER,Pre-Construction/Anchors,34481
2025-06-05,2023006069,3,166,BUCK AND FASTENER,870 NW 87 AVE 503,BLDG,NOT INSPECTED,Alejandro Romero,OTHER,Pre-Construction/Anchors,33172
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2025007217,3,9,ROUGH,14480 SW 119 AVE,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Rough/Structural,32618
2025-06-05,2024051746,13,174,FINAL,1961 NW 83 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Final,33147
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2025023706,7,22,FRAMING/FIRE STOPPING WINDOWS,30641 SW 192 CT,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,33030
2025-06-05,2025041206,10,122,FINAL,19445 NW 62 CT,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Final,33015
2025-06-05,2024074330,3,12,ROUGH,12805 BISCAYNE DR,MECH,NOT INSPECTED,Mario Fontela  Jr,OTHER,Rough/Structural,33181
2025-06-05,2025045549,13,208,FINAL,2110 NE 197 TER,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Final,33179
2025-06-05,2024022578,1,46,ROUGH,1611 NW 12 AVE,PLUM,NOT INSPECTED,Kevin OConnor,OTHER,Rough/Structural,33136
2025-06-05,2023053198,8,87,FINAL,9020 SW 158 AVE,BLDG,NOT INSPECTED,Angel Castro,OTHER,Final,33196
2025-06-05,2025044908,12,100,ROUGH,3290 NW 29 ST,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33142
2025-06-05,2025049388,12,15,ROUGH/SLAB,18148 NW 89 PL,ELEC,NOT INSPECTED,Rey Rubio,OTHER,Rough/Structural,33018
2025-06-05,2024066486,3,90,FINAL,4231 SW 10 ST,ELEC,NOT INSPECTED,Edgar Loiseau,OTHER,Final,33442
2025-06-05,2025048565,18,35,POOL BARRIER,22525 SW 162 AVE,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Plumbing/Pool/Service,33170
2025-06-05,2025035786,9,43,FRAMING/FIRE STOPPING WINDOWS,13286 SW 190 TER,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,33177
2025-06-05,2024074326,4,11,ROUGH,12805 BISCAYNE DR,MECH,NOT INSPECTED,Mario Fontela  Jr,OTHER,Rough/Structural,33181
2025-06-05,2025033444,2,119,BEFORE ANCHOR SHEET IS COVERED,1242 NE 145 ST,ROOF,NOT INSPECTED,Vincent Carr,OTHER,Pre-Construction/Anchors,33161
2025-06-05,2023067035,11,209,FRAMING/FIRE STOPPING WINDOWS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2024022578,1,46,ROUGH,1611 NW 12 AVE,PLUM,NOT INSPECTED,Kevin OConnor,OTHER,Rough/Structural,33136
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2025041173,4,165,BUCK AND FASTENER,10241 NW 9 ST CIR 112-5,BLDG,NOT INSPECTED,Alejandro Romero,OTHER,Pre-Construction/Anchors,33172
2025-06-05,2025031497,2,28,FINAL,2919 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Final,33155
2025-06-05,2025033452,20,12,INSULATION INSPECTIONS,19423 SW 340 ST,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,33034
2025-06-05,2021014660,2,59,FINAL,2421 NE 201 ST,PLUM,NOT INSPECTED,Anthony Trujillo,OTHER,Final,33180
2025-06-05,2025045185,1,54,FINAL,5530 NW 180 TER,PLUM,NOT INSPECTED,Anthony Trujillo,OTHER,Final,33055
2025-06-05,2025044568,5,32,BEFORE ANCHOR SHEET IS COVERED,10400 SW 167 ST,ROOF,NOT INSPECTED,Everildo Perez,OTHER,Pre-Construction/Anchors,33157
2025-06-05,2025033579,10,86,FRAMING/FIRE STOPPING WINDOWS,10727 SW 123 PL,BLDG,NOT INSPECTED,Angel Castro,OTHER,Framing/Drywall,33186
2025-06-05,2025023157,5,23,INSULATION INSPECTIONS,30605 SW 192 CT,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,33030
2025-06-05,2025037916,6,215,POOL BARRIER,2001 NE 211 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Plumbing/Pool/Service,33179
2025-06-05,2022002857,11,156,BUCK AND FASTENER,19114 FISHER ISLAND DR 19114,BLDG,NOT INSPECTED,Alejandro Romero,OTHER,Pre-Construction/Anchors,33109
2025-06-05,2025045249,15,206,FINAL,1960 NE 197 TER,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Final,33179
2025-06-05,2025033451,19,10,INSULATION INSPECTIONS,19463 SW 340 ST,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Framing/Drywall,33034
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2023067035,11,209,FRAMING/FIRE STOPPING WINDOWS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2025037964,1,32,FINAL,120 NW 87 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Final,33172
2025-06-05,2025031696,7,180,FINAL,1468 NE 118 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Final,33161
2025-06-05,2024004956,2,135,ROUGH,2660 NE 192 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33180
2025-06-05,2024004956,2,135,ROUGH,2660 NE 192 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33180
2025-06-05,2025039521,5,10,POOL PIPING,6430 SW 82 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Plumbing/Pool/Service,33143
2025-06-05,2025034811,5,6,ROUGH,19661 SW 340 ST,ELEC,NOT INSPECTED,Rey Rubio,OTHER,Rough/Structural,33034
2025-06-05,2025027639,1,83,WORK WITH,7440 SW 69 CT,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Temporary/Test,33143
2025-06-05,2025035175,1,2,BEFORE ANCHOR SHEET IS COVERED,9375 SW 98 ST,ROOF,NOT INSPECTED,Christopher Suleman,OTHER,Pre-Construction/Anchors,33176
2025-06-05,2025048324,14,38,POOL BARRIER,13240 SW 220 ST,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Plumbing/Pool/Service,33170
2025-06-05,2025045787,11,85,BUCK AND FASTENER,12043 SW 110 STREET CIR S,BLDG,NOT INSPECTED,Angel Castro,OTHER,Pre-Construction/Anchors,33186
2025-06-05,2025034810,4,7,ROUGH,19625 SW 340 ST,ELEC,NOT INSPECTED,Rey Rubio,OTHER,Rough/Structural,33034
2025-06-05,2025047283,7,114,BEFORE ANCHOR SHEET IS COVERED,3220 NW 80 TER,ROOF,NOT INSPECTED,Vincent Carr,OTHER,Pre-Construction/Anchors,33147
2025-06-05,2022018688,1,5,FRAMING/FIRE STOPPING WINDOWS,4401 SW 113 AVE,BLDG,NOT INSPECTED,Felix Barrios,OTHER,Framing/Drywall,
2025-06-05,2024054761,2,7,ROUGH,24750 SW 128 AVE,PLUM,NOT INSPECTED,Horacio Cruz,OTHER,Rough/Structural,33170
2025-06-05,2025049259,15,27,WORK WITH,13796 SW 147 CIRCLE LANE,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Temporary/Test,33186
2025-06-05,2025020229,1,51,FINAL,21390 SW 238 ST,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Final,33031
2025-06-05,2025049236,11,16,WORK WITH,14700 SW 139 AVE,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Temporary/Test,33186
2025-06-05,2024054761,2,7,ROUGH,24750 SW 128 AVE,PLUM,NOT INSPECTED,Horacio Cruz,OTHER,Rough/Structural,33170
2025-06-05,2025009197,3,4,FINAL,5510 SW 94 CT,BLDG,NOT INSPECTED,Felix Barrios,OTHER,Final,33165
2025-06-05,2025007217,3,9,ROUGH,14480 SW 119 AVE,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Rough/Structural,32618
2025-06-05,2025037599,1,2,BUCK AND FASTENER,5581 SW 70 PL,BLDG,NOT INSPECTED,Felix Barrios,OTHER,Pre-Construction/Anchors,33155
2025-06-05,2025043282,5,23,WORK WITH,9230 SW 123 CT,ELEC,NOT INSPECTED,Rolando Rosales,OTHER,Temporary/Test,34481
2025-06-05,2025031962,10,69,ROUGH,8940 SW 88 ST 4TH FLOOR,ELEC,NOT INSPECTED,Elton Suarez,OTHER,Rough/Structural,33176
2025-06-05,2025025415,2,50,POOL BARRIER,24555 SW 194 AVE,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Plumbing/Pool/Service,33031
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2024073267,1,5,FINAL,7389 SW 45 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Final,33314
2025-06-05,2023006069,3,166,BUCK AND FASTENER,870 NW 87 AVE 503,BLDG,NOT INSPECTED,Alejandro Romero,OTHER,Pre-Construction/Anchors,33172
2025-06-05,2025047563,2,125,ROUGH,1403 NE 167 ST,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33162
2025-06-05,2023047029,27,1,FINAL,30100 OLD DIXIE HWY,BLDG,NOT INSPECTED,Peter Bolt,OTHER,Final,33033
2025-06-05,2024051746,13,174,FINAL,1961 NW 83 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Final,33147
